trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,4,-0.4906917632132928,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-26.443989450428276,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-121.70504505162991,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736908}",20,0,-14.79074870048024,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-42.33631396697996,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626098}",25,0,-56.66084294866097,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,12,-15.325357537471906,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6976763260710311}",25,0,-80.17007543882228,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,-22.83279072957189,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123559}",20,0,-8.523226049913161,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,3,-43.827606240067034,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,10,-8.78984721976976,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6636502501363193}",20,0,-59.385764481227866,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150569}",20,0,22.60161993847173,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-45.64527827260089,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-72.90678723823855,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217732}",20,0,-81.49669489885909,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-18.872886998571804,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-89.16581164931877,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
